open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-10-08 23:10:00+00:00,123082.13000000,123149.99000000,123082.13000000,123140.00000000,9.87376000,2025-10-08 23:14:59.999000+00:00,1215716.54633740,3679,6.15374000,757661.23771130,0
2025-10-08 23:15:00+00:00,123140.00000000,123304.24000000,123139.99000000,123297.17000000,26.68948000,2025-10-08 23:19:59.999000+00:00,3289490.91856320,8603,16.24463000,2001975.12803660,0
2025-10-08 23:20:00+00:00,123297.17000000,123431.45000000,123229.96000000,123431.45000000,23.58296000,2025-10-08 23:24:59.999000+00:00,2908981.15718200,7647,20.04942000,2473288.44086750,0
2025-10-08 23:25:00+00:00,123431.44000000,123478.25000000,123416.01000000,123478.25000000,22.99134000,2025-10-08 23:29:59.999000+00:00,2838208.56532520,6249,14.73882000,1819414.97486140,0
2025-10-08 23:30:00+00:00,123478.26000000,123537.11000000,123426.94000000,123525.93000000,37.36329000,2025-10-08 23:34:59.999000+00:00,4613424.37114850,6619,18.02730000,2225972.82746530,0
2025-10-08 23:35:00+00:00,123525.93000000,123530.74000000,123400.00000000,123415.79000000,27.84890000,2025-10-08 23:39:59.999000+00:00,3438209.05944340,5129,9.83241000,1214160.27582350,0
2025-10-08 23:40:00+00:00,123415.79000000,123430.87000000,123350.00000000,123350.00000000,23.74213000,2025-10-08 23:44:59.999000+00:00,2929719.42227190,3550,5.18351000,639728.89617300,0
2025-10-08 23:45:00+00:00,123350.01000000,123352.81000000,123326.96000000,123352.81000000,15.36130000,2025-10-08 23:49:59.999000+00:00,1894757.95360880,2122,4.96568000,612486.00879570,0
2025-10-08 23:50:00+00:00,123352.80000000,123352.81000000,123304.47000000,123327.33000000,17.10803000,2025-10-08 23:54:59.999000+00:00,2109954.53151410,3851,7.36944000,908823.97687980,0
2025-10-08 23:55:00+00:00,123327.33000000,123369.72000000,123306.00000000,123306.00000000,30.57275000,2025-10-08 23:59:59.999000+00:00,3771068.97664440,2346,14.53073000,1792125.47772370,0
2025-10-09 00:00:00+00:00,123306.01000000,123348.32000000,123223.87000000,123223.87000000,29.13337000,2025-10-09 00:04:59.999000+00:00,3592106.85122540,5087,7.65194000,943478.18063100,0
2025-10-09 00:05:00+00:00,123223.88000000,123223.88000000,123030.02000000,123044.61000000,25.71137000,2025-10-09 00:09:59.999000+00:00,3165266.76916070,10216,13.19331000,1623641.08289950,0
2025-10-09 00:10:00+00:00,123044.61000000,123118.57000000,123044.09000000,123118.56000000,11.82996000,2025-10-09 00:14:59.999000+00:00,1455891.16440300,5826,7.06471000,869459.26163420,0
2025-10-09 00:15:00+00:00,123118.57000000,123259.16000000,123082.75000000,123259.16000000,29.08451000,2025-10-09 00:19:59.999000+00:00,3581367.12434570,10627,9.68563000,1192694.38145890,0
2025-10-09 00:20:00+00:00,123259.15000000,123269.82000000,123163.63000000,123174.83000000,12.89127000,2025-10-09 00:24:59.999000+00:00,1588485.40300830,6571,6.34215000,781379.88752300,0
2025-10-09 00:25:00+00:00,123174.84000000,123177.89000000,123051.84000000,123062.25000000,25.02454000,2025-10-09 00:29:59.999000+00:00,3081213.05134260,5400,12.66578000,1559562.93891140,0
2025-10-09 00:30:00+00:00,123062.25000000,123109.80000000,122873.92000000,122937.82000000,71.65341000,2025-10-09 00:34:59.999000+00:00,8812581.01992470,15696,11.44661000,1407634.79786530,0
2025-10-09 00:35:00+00:00,122937.81000000,123023.64000000,122908.99000000,123002.80000000,16.05074000,2025-10-09 00:39:59.999000+00:00,1973810.15143190,7572,7.63917000,939319.92340500,0
2025-10-09 00:40:00+00:00,123002.80000000,123077.72000000,122963.93000000,122963.93000000,13.35523000,2025-10-09 00:44:59.999000+00:00,1643073.89898740,7105,6.34840000,781020.01924350,0
